,delta_abs,theta_abs,alpha_abs,beta_abs,gamma_abs,delta_rel,theta_rel,alpha_rel,beta_rel,gamma_rel,theta_alpha_ratio,theta_beta_ratio,alpha_beta_ratio,delta_theta_ratio,theta_alpha_beta_ratio,delta_frontal,theta_frontal,alpha_frontal,beta_frontal,gamma_frontal,delta_central,theta_central,alpha_central,beta_central,gamma_central,delta_parietal,theta_parietal,alpha_parietal,beta_parietal,gamma_parietal,delta_occipital,theta_occipital,alpha_occipital,beta_occipital,gamma_occipital,delta_temporal,theta_temporal,alpha_temporal,beta_temporal,gamma_temporal,theta_alpha_frontal_ratio,alpha_beta_frontal_ratio,theta_alpha_central_ratio,alpha_beta_central_ratio,theta_alpha_parietal_ratio,alpha_beta_parietal_ratio,theta_alpha_occipital_ratio,alpha_beta_occipital_ratio,theta_alpha_temporal_ratio,alpha_beta_temporal_ratio,delta_frontoparietal_diff,delta_frontoparietal_ratio,theta_frontoparietal_diff,theta_frontoparietal_ratio,alpha_frontoparietal_diff,alpha_frontoparietal_ratio,beta_frontoparietal_diff,beta_frontoparietal_ratio,gamma_frontoparietal_diff,gamma_frontoparietal_ratio
alpha_central,0.11211183682821502,0.5085907297860656,0.7801428790643054,0.43767017235156785,0.22325057497416378,-0.33374175928239674,0.1512261185033037,0.4652159583275715,-0.24035161541055514,-0.24908694898236178,-0.17856165821129005,0.28567497402524855,0.6057700529578982,-0.05515017390798794,-0.09415202599150053,0.08654711341353935,0.4183471656201676,0.7375163646965248,0.32284448782442626,0.17777369003443313,0.1885840132304582,0.592791874529355,1.0,0.4350494083065206,0.10478503173195418,0.19739749384976765,0.4981575247456525,0.6871724040044019,0.43143351304975086,0.19638989783361938,0.05634297063214574,0.40807240930244565,0.4447460803336769,0.35722112108026527,0.19610257731791125,0.11907116928148877,0.488341769532874,0.7717966953427179,0.38509435349367915,0.24763146086378518,-0.15317743252187135,0.48619996398314325,-0.2305874688197238,0.748766891185613,-0.13875663156430715,0.5429538741048561,-0.0740623288487788,0.3253775035999534,-0.1671559454285359,0.43848021983928553,0.016550556810330446,-0.05255784049577246,-0.3795105848696255,-0.13334562485795617,-0.603956331714549,-0.14068652071279664,-0.02430095829262871,-0.10972539169286906,0.12814727341542304,-0.05091425343902594
beta_central,0.12976842758016816,0.2998646058636592,0.44308046931777756,0.8191535483317023,0.6250038786100423,-0.16338071834049603,0.022628298567733972,0.1955825419688108,0.10027153367992296,-0.08985054260874097,-0.11240646075799698,-0.013856559003288941,0.08087766710752375,-0.03408787967448508,-0.10304071192594468,0.10728440609119497,0.26535924244788134,0.4416003493271266,0.6432498217849123,0.49600395762999544,0.2644744979564514,0.3316431886639786,0.4350494083065206,1.0,0.62150137145592,0.17853583156300806,0.2717564854364131,0.3985739738891611,0.7126269034763227,0.5508126848289177,0.049072693305573,0.2210090767303164,0.2905775800945333,0.5408811739239974,0.4171073539643291,0.16606320806135325,0.2964490045736748,0.4269517896711502,0.7135042568060433,0.5440370778353939,-0.1038089027896319,0.050037541087678786,-0.11628570288551472,0.014040194234257201,-0.09436292696854134,0.06944280354363061,-0.05698052774866632,0.046290357050983416,-0.10902734860888882,-0.011445585257384204,0.05630993475977471,0.024281574222663686,-0.16514109613466002,-0.04558381166681144,-0.34390211532584264,-0.05340718416040889,0.08041087480735745,-0.12039370485588706,0.3565952465021579,-0.06703055105723876
gamma_central,0.06889154922035347,0.05632900531025174,0.130110366582306,0.4655215343217291,0.7640378825915033,-0.004024418934003458,-0.062215713120732936,0.01134423832657077,0.07000755182333349,0.12223743780277854,-0.04296958964296687,-0.04896656752662817,-0.02531571480168715,0.0074484548349547505,-0.05493116613882954,0.060155360404334786,0.05555507483632232,0.132480364131217,0.4175318857806763,0.6078107749291258,0.16881344582546537,0.05885436522328411,0.10478503173195418,0.62150137145592,1.0,0.057971163828384305,0.041253095886543495,0.11463659549950317,0.27351413271138014,0.5934296556728488,0.030189109306129076,0.033651166298403756,0.10291565392076539,0.17829997348509422,0.3154601878471168,0.06951248262262556,0.055971054964008345,0.12374519237136757,0.44911820383148,0.6132644524878673,-0.04341253685726971,-0.032742357392401424,-0.049665706253028415,-0.030454451434710754,-0.03416827489207449,-0.0034862337540483607,-0.010732028307041168,-0.008137578730288343,-0.05100255130530456,-0.04778334897663257,0.05436976068081366,0.09888861541322035,-0.007842500743492836,0.024412810300374593,-0.09637868484891551,0.030567986709310414,0.2178979883610632,-0.0023256740498089055,0.46389585096451147,-0.009153504223822799
delta_parietal,0.8960984628385236,0.4260989014617512,0.26096677625276676,0.24556171650899625,0.13404513975233928,0.34515188992479623,-0.13842101472246782,-0.1913608951967607,-0.30462861871351643,-0.24759889235028043,0.24182167258698134,0.32780347899416634,0.15025230354614108,0.13949971663820715,0.2935699121246641,0.858488733052869,0.4870238443533676,0.2857496114985659,0.17765680518881088,0.10852476790358595,0.8145567983063715,0.2644828196634497,0.19739749384976765,0.17853583156300806,0.057971163828384305,1.0,0.28687702862995906,0.22121517771053978,0.24164131835244454,0.11187751058375628,0.5361715250857704,0.3364547110845399,0.18825565328262572,0.27032982981912557,0.13757704140533644,0.6885132250809273,0.41344366387892745,0.2574337160060011,0.21729225349803552,0.10809902409965391,0.26257989520690317,0.15075861611515556,0.14426931390677558,0.11890005305709493,0.16169182381741048,0.09854876291317366,0.11696201520921604,0.07688643122343686,0.15688154128859938,0.07451384560346405,0.6824963326713027,0.09424801299749698,0.05902860039581832,0.18807496097709223,-0.17203833555582682,0.06048144669777782,-0.017079647995347235,-0.09179548637594531,0.08087431077516063,-0.0552794306809496
theta_parietal,0.15355019233544762,0.9399385245202591,0.5392117586948096,0.2973927649987623,0.12265944095707286,-0.3055489342145849,0.5491618387005821,0.07571252120904101,-0.3038356106975189,-0.26337528602007965,0.23697814026520633,0.7369157720992774,0.4401026036165422,-0.06696068812934383,0.36981946204882515,0.12307876016757414,0.8282051011757435,0.5827152784815498,0.21445132526745742,0.11459511446020772,0.24608194381546128,0.796445766852497,0.4981575247456525,0.2717564854364131,0.041253095886543495,0.28687702862995906,1.0,0.4968782600011502,0.3302201063111837,0.10241283109675822,0.06897278777499806,0.8107001929423503,0.3010251401308085,0.2639245034158289,0.10474009589645496,0.17088767524923876,0.7019401399452374,0.44771624952981237,0.19424404046135568,0.061258660512551154,0.1911146062665419,0.41497848943716115,0.13294103099963323,0.3628881244331145,0.25834223273884405,0.3769274148276162,0.16702661058659596,0.24282325901498603,0.11370468405392671,0.2751371876566137,0.020205060553161798,-0.094865096292729,-0.7748936060227166,-0.16709624312895113,-0.41380608525142165,-0.10002524478695167,-0.05439088181966985,-0.1103263430416053,0.09058819074663614,-0.03270934688157466
alpha_parietal,0.13211380210764684,0.4518345776917194,0.9716477993104506,0.4371235310424184,0.20634668378832854,-0.3233013478547248,0.04962544342436739,0.5455760214116557,-0.24324326083874095,-0.242217989131733,-0.21125834239042707,0.23953015774781602,0.7316140647038745,-0.043000688186767076,-0.14223937316449203,0.11291436819425582,0.35905707185678165,0.869231321317478,0.3193611076242185,0.17543125469870216,0.198454365464206,0.40176288112357716,0.6871724040044019,0.3985739738891611,0.11463659549950317,0.22121517771053978,0.4968782600011502,1.0,0.49337023005153163,0.20486890039658145,0.056879385751438354,0.4592220783863877,0.8341283183862499,0.48365028461473075,0.20911180276798363,0.12853612194797853,0.40051442238535007,0.6758129565773311,0.3297043366407298,0.1715617682568994,-0.17866748073909153,0.5885772897072541,-0.18085329493652355,0.4686067494140446,-0.19529681166578805,0.6962451436868219,-0.141996862198955,0.5531256642893017,-0.14478743016978785,0.3820088215729266,0.041243284746409786,-0.05153726283285205,-0.44419635843683836,-0.1620781502562605,-0.9734184228655997,-0.25099640342161816,-0.08240674799851345,-0.11798748330918489,0.1228055078296449,-0.05187140867126153
beta_parietal,0.1870859208400709,0.3666768840548163,0.5254506142132874,0.8028459382823891,0.39665973901582335,-0.15347678476869248,0.024266209476186164,0.22063127253467066,0.05296992749264794,-0.1920665100128316,-0.11840147819947071,0.02244474115626976,0.15812754148230698,-0.030962338800874806,-0.10049532153787293,0.16002936072389176,0.3222551501978405,0.5050021409414458,0.5046264204184376,0.2537149783078689,0.2664793856088909,0.373885182216247,0.43143351304975086,0.7126269034763227,0.27351413271138014,0.24164131835244454,0.3302201063111837,0.49337023005153163,1.0,0.5518427226900651,0.05179173759711822,0.2699838895469195,0.38322295442875526,0.8210021198011931,0.41843649801415767,0.22408235850633,0.3571018065422423,0.45107359970231214,0.6476041266376437,0.4393008792391827,-0.09929485626945081,0.14286422102072563,-0.10175686932642868,0.09802088137303164,-0.12077406774134117,0.04563431554913426,-0.0893818899104277,0.040980161214678824,-0.10889828883269469,0.033444447415851515,0.09734059875106145,0.05223299587766893,-0.20088423657656315,-0.033309839861496965,-0.4449794227437303,-0.11277303961079864,-0.32341081742427996,-0.2483779922224383,0.09324497357205862,-0.15942171745807396
gamma_parietal,0.10400427953929375,0.12712575626372324,0.2277728365102559,0.5296368477293909,0.6297552790385729,-0.04271909181057107,-0.05499891745806151,0.09533874222464658,0.03459854835228509,0.01945547040065041,-0.08692918158482987,-0.04023895448665349,0.04721325480294128,-0.008608992343154116,-0.08863571889797661,0.09101990598948634,0.11532903222180999,0.2304120529681905,0.35644145428782553,0.40091983962728517,0.16633573513661656,0.1321092061973779,0.19638989783361938,0.5508126848289177,0.5934296556728488,0.11187751058375628,0.10241283109675822,0.20486890039658145,0.5518427226900651,1.0,0.026412745060594826,0.07980568915574689,0.14115705114053642,0.35327141103529686,0.5962098636491792,0.11994371407692239,0.1327427769101471,0.23586479175612052,0.5545899141645599,0.6544053868804608,-0.07357321520346882,0.0397352139979607,-0.08587030772792259,0.034073943014643074,-0.08975330792384502,0.008826176975189079,-0.04808159804121051,5.015063987082977e-05,-0.09556372455043406,-0.03348284114529145,0.06919339436108726,0.09206832064388865,-0.044947232461915614,-0.0025048644431194065,-0.17517956359208087,-0.037714734159674426,-0.09301638422013389,-0.14099135501418955,0.10509830862037717,-0.17995807755944612
delta_occipital,0.575660313869617,0.1545894676004145,0.07451083794748813,0.06530392710371834,0.04851478679993504,0.23094416720425548,-0.12947210613165952,-0.12144889507479802,-0.15677273702430158,-0.11431688009923516,0.2464587445387017,0.20745383529642242,0.040499724481068256,0.12196060557505534,0.27093498257147836,0.46070652961244213,0.17173771453647116,0.0832006029852824,0.04969060306772329,0.03844582247384606,0.5257326631452195,0.07008773603470869,0.05634297063214574,0.049072693305573,0.030189109306129076,0.5361715250857704,0.06897278777499806,0.056879385751438354,0.05179173759711822,0.026412745060594826,1.0,0.31632538447657627,0.06697337242691695,0.08600008877817346,0.06987721647610468,0.3001555197321669,0.1091860938807965,0.06852291338335591,0.07947354942763908,0.05891965127168571,0.20888495203965,0.04134718235039177,0.12398998166848335,0.025309574937689542,0.20989673444070428,0.019163408579394907,0.21122722326312646,0.03228133610484382,0.1562617642845247,-0.000420209539015695,0.36651845740204886,0.06754801934411163,0.07582425729198349,0.1214633827141764,-0.03972842398852121,0.09001052553987104,0.009067510287663347,-0.028580758952039164,0.033014727794376364,-0.012776043988966465
theta_occipital,0.23970238041230188,0.7915304138366294,0.5062651669709689,0.25502930362523313,0.1047385278607908,-0.19697794035920996,0.3928741862204808,0.06064614677263504,-0.28635211013350975,-0.24517877214096417,0.25220410126180937,0.6559743041392467,0.4130839534428315,-0.04058686646742444,0.3661010905403312,0.18414376373248773,0.6992395087142763,0.5260502626329985,0.18702322471234475,0.0938456836836182,0.30403099590688387,0.5608987614922905,0.40807240930244565,0.2210090767303164,0.033651166298403756,0.3364547110845399,0.8107001929423503,0.4592220783863877,0.2699838895469195,0.07980568915574689,0.31632538447657627,1.0,0.39895668517113747,0.26549093587196176,0.12221306729892945,0.18686236500548947,0.5315836076728719,0.37542551888853193,0.18628515208398075,0.06944171155419998,0.21309776050105333,0.37204337255626685,0.10791902042827038,0.3097613425468753,0.25997258844161814,0.3515870050466408,0.22828860199840934,0.32215143690218145,0.11874603022089847,0.20966813768890635,0.08041230505184224,-0.05214009057518992,-0.59683616500456,-0.10469733534514619,-0.3882378943223826,-0.06410668262342804,-0.03165601901106237,-0.092700793330296,0.07552703700393675,-0.03778931442468519
alpha_occipital,0.12860268022356364,0.2773763212727117,0.8311666156680022,0.3539485553161338,0.1731362449783546,-0.1965960082165424,-0.05793416104187772,0.4310128295279791,-0.1767869074895365,-0.17482956219036594,-0.1817228803969016,0.11989279135692381,0.5868213233931913,-0.01489446757147759,-0.1426460342504576,0.11528004270023483,0.21752202552254396,0.7076695518401886,0.26754500079907323,0.1524934105737324,0.16705202499321362,0.20910252495644172,0.4447460803336769,0.2905775800945333,0.10291565392076539,0.18825565328262572,0.3010251401308085,0.8341283183862499,0.38322295442875526,0.14115705114053642,0.06697337242691695,0.39895668517113747,1.0,0.5039963911081582,0.17009131510848619,0.12350498003993898,0.23611077628866314,0.44254559531684895,0.27500561100459625,0.15612410045193953,-0.14782766347308268,0.4430713185876381,-0.1337063065181823,0.28575059631873523,-0.16662105818192693,0.5366802208170565,-0.1495568438365155,0.611078201695581,-0.10105344991513686,0.20307764622256141,0.06244668035078969,-0.01286096915245238,-0.26911607113820546,-0.09181703032682582,-0.8200075991673347,-0.1804641749238656,-0.042654989229246695,-0.07790494803810571,0.11893783056542838,-0.03116318788829641
beta_occipital,0.22845600661113036,0.3060000822861755,0.5156487283159983,0.6952979430773407,0.3134849767417734,-0.08081646868821987,-0.044909443155193594,0.19646275749402733,0.012848775791393409,-0.18796692089048156,-0.11515341429624772,0.00039512329144865594,0.1647504244938968,-0.005513955804998666,-0.10291640233023576,0.2061856071914648,0.27986788682263103,0.47378844342595255,0.46379244470681497,0.22812001515343563,0.2844079284838619,0.2859828095995722,0.35722112108026527,0.5408811739239974,0.17829997348509422,0.27032982981912557,0.2639245034158289,0.48365028461473075,0.8210021198011931,0.35327141103529686,0.08600008877817346,0.26549093587196176,0.5039963911081582,1.0,0.381482546194741,0.26387809813894797,0.3051204641912162,0.3881703836377261,0.5103296906296928,0.3273095001516838,-0.08887133220786751,0.1176740402943566,-0.08354633249729725,0.09739997241361825,-0.11772618558302801,0.08519112378274002,-0.10930913942570038,0.036975148494440675,-0.08567823731376387,0.04109760772575616,0.14760138117967522,0.060134223425609014,-0.13539217629058664,-0.004961702121781816,-0.44606367773686956,-0.10250519072341713,-0.21127422990855926,-0.19205464354034005,0.13101130596435692,-0.08762478617481378
gamma_occipital,0.12322843466193141,0.13636361737912356,0.2353469832584223,0.4278027727920608,0.4362237743778129,-0.035821819864063034,-0.05223103020593385,0.09330432312907791,0.02625539094745892,-0.011395056925636927,-0.08894721864959161,-0.031519281786184454,0.06272084048516202,-0.007217965208134011,-0.0893137371353301,0.10873101706783167,0.12893814227049472,0.23414400569757166,0.3038267226763983,0.2923836486684005,0.18026147845078086,0.12757252049069676,0.19610257731791125,0.4171073539643291,0.3154601878471168,0.13757704140533644,0.10474009589645496,0.20911180276798363,0.41843649801415767,0.5962098636491792,0.06987721647610468,0.12221306729892945,0.17009131510848619,0.381482546194741,1.0,0.1002020497159379,0.12866111330661148,0.2332320737175211,0.37984514958509913,0.3672541291149621,-0.07457782160369068,0.040642123561122095,-0.09431975573146896,0.05433708144927588,-0.08714537805051888,0.03968391449956299,-0.049922490124731246,-0.0038621518593011735,-0.10728841677424451,0.002214063257818731,0.08053126110411743,0.03322013562419324,-0.03357511962307096,0.005481181731172881,-0.17928935125020945,-0.024364967674798718,-0.0337533705349892,-0.1314339805496045,0.12057469338674948,-0.15590077905398508
delta_temporal,0.6914097417673342,0.31699238337454777,0.17949391847041687,0.2576540882564133,0.14482306732325678,0.24962250131314379,-0.11602622732049156,-0.1386287196773417,-0.19314681300075856,-0.1536074363537001,0.15451004805543972,0.1787143532043257,0.06599927455793311,0.08906386536884085,0.17990825843324415,0.6750054331220047,0.39915459093178085,0.23271322143692222,0.20896820754484194,0.12520602346596676,0.6446382326069233,0.17307292344584457,0.11907116928148877,0.16606320806135325,0.06951248262262556,0.6885132250809273,0.17088767524923876,0.12853612194797853,0.22408235850633,0.11994371407692239,0.3001555197321669,0.18686236500548947,0.12350498003993898,0.26387809813894797,0.1002020497159379,1.0,0.47405388707798946,0.25872271603875585,0.2836428920346095,0.13221487781309166,0.17139415539823433,0.06921879965891116,0.10420521161416316,0.049400050751965435,0.08811621259207451,0.03631566811559929,0.04586582128709107,0.03838552272310475,0.11986066406355124,0.020581271281661134,0.5895171126300596,0.15223451206698388,0.15814953375435178,0.19058730326694823,-0.06907270343637592,0.09169437329406596,0.032629630787117836,-0.0477027856785365,0.09631946711201225,-0.02933056588648289
theta_temporal,0.29727530647379674,0.801517042637623,0.480142800004559,0.3552957022383868,0.15059715712306546,-0.1718653172613732,0.3713774189092326,0.042839852411614004,-0.27484376609021277,-0.24913792021884928,0.18547266485483474,0.5685737705421686,0.3466925419926277,-0.04462468611694146,0.28870155598925434,0.2689660108882882,0.7629007383520192,0.5344000657604692,0.26693787536435865,0.1293476947824639,0.3934083598620846,0.7455102834806256,0.488341769532874,0.2964490045736748,0.055971054964008345,0.41344366387892745,0.7019401399452374,0.40051442238535007,0.3571018065422423,0.1327427769101471,0.1091860938807965,0.5315836076728719,0.23611077628866314,0.3051204641912162,0.12866111330661148,0.47405388707798946,1.0,0.5897395671585057,0.2908329315521626,0.11236040898752903,0.17732175497861766,0.32048521910953426,0.13037291916634444,0.34138302117017716,0.1539951882967017,0.2736012122653667,0.08308236988729592,0.16715323416473296,0.18020592862797682,0.3228498520096807,0.15964827813970212,-0.015611664981052159,-0.33916212817930874,0.0023898547388450974,-0.3035827672415217,-0.01740243860202726,-0.020425110480048855,-0.09541049043047234,0.09659025570062243,-0.04085035308993241
alpha_temporal,0.17217205939716432,0.47590281087808384,0.7473404738571379,0.45685864997298803,0.23508000975257717,-0.27164700032961386,0.08089956432956692,0.4376326178174251,-0.2271723555704156,-0.23885258798117592,-0.18258417271841554,0.24658620141077256,0.5658630083158872,-0.04173907466210724,-0.10616846241734748,0.14954595457806966,0.4117865639394332,0.7009187720413864,0.3421913108311386,0.18274776883436278,0.24610124073898404,0.4705253259945707,0.7717966953427179,0.4269517896711502,0.12374519237136757,0.2574337160060011,0.44771624952981237,0.6758129565773311,0.45107359970231214,0.23586479175612052,0.06852291338335591,0.37542551888853193,0.44254559531684895,0.3881703836377261,0.2332320737175211,0.25872271603875585,0.5897395671585057,1.0,0.4308780405583238,0.24819755351313996,-0.14517918424715928,0.4413287273545413,-0.2026441847864237,0.5621521992407071,-0.15399152654135664,0.5018729521417225,-0.09205524089408897,0.3017169154517699,-0.22049284852140388,0.5920274594527443,0.07385560519188529,-0.022222516757410982,-0.30070557125350156,-0.08921685371383252,-0.6052785789302126,-0.1319036122549174,-0.020310568700066346,-0.11053063745941138,0.1205157174041739,-0.07315136193179107
beta_temporal,0.19657329482984504,0.24881815054987913,0.39359885860549,0.7681910724603412,0.5820471474609551,-0.06688067095695698,-0.052832897803479426,0.13068785580098558,0.07636871155012889,-0.053197746582676037,-0.10765614260679088,-0.0432829783691546,0.04866436399390794,-0.005141145765669667,-0.10650942676738671,0.1731470756752842,0.23408963704920266,0.4026577413484041,0.5780104736961593,0.4214144765599442,0.243579370866548,0.2589318748664991,0.38509435349367915,0.7135042568060433,0.44911820383148,0.21729225349803552,0.19424404046135568,0.3297043366407298,0.6476041266376437,0.5545899141645599,0.07947354942763908,0.18628515208398075,0.27500561100459625,0.5103296906296928,0.37984514958509913,0.2836428920346095,0.2908329315521626,0.4308780405583238,1.0,0.7799176890882603,-0.09801085791058063,0.021669379360063686,-0.11330863978746085,0.09780381289025816,-0.09599318742173554,0.07822999630141986,-0.06406424202144825,0.08050130936176123,-0.11933145947238855,-0.14987528969401864,0.1292093575936648,0.09567676609044601,-0.06793998286802333,0.014741415461063138,-0.26717144542605087,-0.00405409707012621,0.06589828411487589,-0.07197232281597009,0.27437975408568965,-0.07542993578817532
gamma_temporal,0.13098584158505358,0.10231004502259691,0.2234425373819492,0.579866566033743,0.7056510556266066,-0.006618530713561808,-0.09652569456605706,0.05597387769289316,0.07017185612233173,0.08596727459987229,-0.09370991047530383,-0.07788756144229203,-0.0017605127990436681,0.011798152707202778,-0.1031397977218798,0.11506402738051269,0.09631371024710213,0.2318133134505862,0.45221579251931726,0.5036678753070295,0.16273601079252412,0.1288338532374321,0.24763146086378518,0.5440370778353939,0.6132644524878673,0.10809902409965391,0.061258660512551154,0.1715617682568994,0.4393008792391827,0.6544053868804608,0.05891965127168571,0.06944171155419998,0.15612410045193953,0.3273095001516838,0.3672541291149621,0.13221487781309166,0.11236040898752903,0.24819755351313996,0.7799176890882603,1.0,-0.08689562527933695,-0.022991897838830638,-0.10319592889388061,0.08070675845336922,-0.08444745954082605,0.04202081621816788,-0.05408700362139498,0.04272799714035484,-0.10425366197933149,-0.14747657213483406,0.10550533288714907,0.1337283507921734,0.003938621827303717,0.036394725139988426,-0.12869678684547678,0.030786700875869554,0.11060026202971643,-0.011830588041372906,0.3307176825200011,-0.044512904979887566
theta_alpha_frontal_ratio,0.295292971262013,0.28778452295977275,-0.18020322650908455,-0.10512423056171187,-0.0650357575784073,0.20967289349698864,0.3470756005574428,-0.5217305032930274,-0.21239926154386696,-0.11458958352964903,0.9043757210285417,0.475659996859152,-0.20174392850774311,0.013687368758784072,0.8663420332088879,0.28418475566155704,0.35720325040042805,-0.16976998868134752,-0.09489254599403296,-0.05661546597169829,0.26778173814451733,0.16239301967672387,-0.15317743252187135,-0.1038089027896319,-0.04341253685726971,0.26257989520690317,0.1911146062665419,-0.17866748073909153,-0.09929485626945081,-0.07357321520346882,0.20888495203965,0.21309776050105333,-0.14782766347308268,-0.08887133220786751,-0.07457782160369068,0.17139415539823433,0.17732175497861766,-0.14517918424715928,-0.09801085791058063,-0.08689562527933695,1.0,-0.16516815066330007,0.6013649291780244,-0.1337931912786873,0.7030046712050714,-0.2280379464445577,0.5034956477878041,-0.17819608946845802,0.5679592887202667,-0.11124127176673435,0.26295869194154486,0.1113843045700958,0.076265499193051,0.31594309291722417,0.16721653877357107,0.11752461331952675,-0.01697423485357765,0.005529987341949601,-0.03717017931988001,0.009319672975111569
alpha_beta_frontal_ratio,0.08788742815175957,0.40317091566184493,0.6241763750928905,-0.0036874848840831656,-0.07213804149970816,-0.2536775159730687,0.12829825792084049,0.46107886078910326,-0.4282520609644462,-0.34683964159612873,-0.1480449534031285,0.46747818839650557,0.894362657904442,-0.040881498895278916,-0.03360961171820194,0.07517490724219475,0.34876491920118097,0.6654109937288298,-0.12394021888428738,-0.11393823324172041,0.11818035875101342,0.3589273374715596,0.48619996398314325,0.050037541087678786,-0.032742357392401424,0.15075861611515556,0.41497848943716115,0.5885772897072541,0.14286422102072563,0.0397352139979607,0.04134718235039177,0.37204337255626685,0.4430713185876381,0.1176740402943566,0.040642123561122095,0.06921879965891116,0.32048521910953426,0.4413287273545413,0.021669379360063686,-0.022991897838830638,-0.16516815066330007,1.0,-0.11568626458032855,0.5399265865337903,-0.12374827963923574,0.6612686742502206,-0.10527981343537768,0.5569638084385415,-0.10619447001227764,0.48042747606907876,0.02557555239540752,-0.042668726987431474,-0.3158372404004429,-0.07321616027047283,-0.501683393951958,-0.03978984968906474,-0.26106548540881164,-0.2625056009948079,-0.13679953395942135,-0.24837562404105853
theta_alpha_central_ratio,0.1600999281710581,0.1979778895555163,-0.18519286795033052,-0.11635705594885747,-0.07921896245803095,0.17171538432509853,0.3224074622538683,-0.46781118367303254,-0.16491802535476346,-0.08729962706190243,0.7056823808069932,0.364814858359607,-0.19734396359287829,-0.002002253173538566,0.6731745439512945,0.152204964395184,0.2272782744585702,-0.13975761750423518,-0.10280317393104937,-0.06183159221818783,0.17478160749330376,0.205099542526978,-0.2305874688197238,-0.11628570288551472,-0.049665706253028415,0.14426931390677558,0.13294103099963323,-0.18085329493652355,-0.10175686932642868,-0.08587030772792259,0.12398998166848335,0.10791902042827038,-0.1337063065181823,-0.08354633249729725,-0.09431975573146896,0.10420521161416316,0.13037291916634444,-0.2026441847864237,-0.11330863978746085,-0.10319592889388061,0.6013649291780244,-0.11568626458032855,1.0,-0.2546083782813234,0.5521645699577008,-0.2247197074309315,0.28136971685178913,-0.14484569837250896,0.5936364847811907,-0.17924355157334998,0.13886968360109028,0.0489934518585212,0.0291450011018865,0.20213663273970978,0.18412768525426731,0.19729994882692758,-0.023486686639558024,-0.005398305558599868,-0.03877301850131956,0.003849345362528207
alpha_beta_central_ratio,0.055748264640991876,0.36227981525966885,0.5407012988010511,0.09300873351452629,0.04951599374892606,-0.30115368816464566,0.16658669085284727,0.43804351066265573,-0.34467438582598764,-0.2410149767766223,-0.17000048121461284,0.35402700972209905,0.6802765466185487,-0.0499271149351796,-0.06576556176669301,0.04116860517193812,0.29232268359217056,0.5043366974314387,0.062094231151027544,0.03858197271227933,0.07887292013428449,0.41232703445026203,0.748766891185613,0.014040194234257201,-0.030454451434710754,0.11890005305709493,0.3628881244331145,0.4686067494140446,0.09802088137303164,0.034073943014643074,0.025309574937689542,0.3097613425468753,0.28575059631873523,0.09739997241361825,0.05433708144927588,0.049400050751965435,0.34138302117017716,0.5621521992407071,0.09780381289025816,0.08070675845336922,-0.1337931912786873,0.5399265865337903,-0.2546083782813234,1.0,-0.13473401810766295,0.630655060634077,-0.05679434857672196,0.3669764441899036,-0.1631778132830982,0.5792600930466397,-0.0056540550770238516,-0.05253808273354836,-0.290474362423416,-0.11232909565671878,-0.4112108901398678,-0.13623960433718127,-0.017857608212677442,-0.0690184559799464,0.030633488706145462,-0.03250296616247158
theta_alpha_parietal_ratio,0.16281689234980942,0.2871192954469629,-0.1779295119171786,-0.11447595458956117,-0.06772224339157004,0.08264753158386172,0.4413912563119678,-0.47566821889847394,-0.13731153919071185,-0.04048530169708477,0.8630404688008094,0.45294440169296574,-0.20177379954727578,-0.02382480089700194,0.8163928764774083,0.1405634849926545,0.29754428032485253,-0.13141114145685454,-0.10413624904942569,-0.060558867130831,0.1565662136531754,0.1910995534532463,-0.13875663156430715,-0.09436292696854134,-0.03416827489207449,0.16169182381741048,0.25834223273884405,-0.19529681166578805,-0.12077406774134117,-0.08975330792384502,0.20989673444070428,0.25997258844161814,-0.16662105818192693,-0.11772618558302801,-0.08714537805051888,0.08811621259207451,0.1539951882967017,-0.15399152654135664,-0.09599318742173554,-0.08444745954082605,0.7030046712050714,-0.12374827963923574,0.5521645699577008,-0.13473401810766295,1.0,-0.25438945597381535,0.6575099693950572,-0.20433284602437424,0.5215871953277829,-0.1265192172727451,0.11285227652312328,-0.013944818877125571,-0.1059151951710221,-0.0038388774830593934,0.20786979223805993,0.3547304006736224,-0.008279129936317485,0.041104488559448184,-0.0361096314267628,0.03880605571248404
